ID,loc,title,bedroom,bathroom,parking_space,price
5049,Benue,Detached duplex,5.0,7.0,4.0,2352604.128
92,Rivers,Bungalow,2.0,2.0,3.0,1711290.282
446,Bayelsa,Penthouse,2.0,2.0,2.0,3225484.923
2642,Kogi,Cottage,1.0,2.0,3.0,643193.3905
9645,Bauchi,Mansion,4.0,7.0,2.0,3822595.558
1761,Kano,Cottage,1.0,2.0,2.0,750033.2902
1085,Cross River,Flat,2.0,2.0,4.0,1458366.968
1,Niger,Semi-detached duplex,4.0,2.0,2.0,1476299.188
169,Adamawa,Apartment,1.0,1.0,2.0,804146.0644
1127,Osun,Terrace duplex,8.0,3.0,4.0,2857231.23
11198,Plateau,Terrace duplex,4.0,1.0,1.0,1723753.995
2078,Imo,Mansion,1.0,2.0,3.0,2463522.102
4180,Abia,Apartment,3.0,2.0,4.0,1052994.711
6687,Kano,Mansion,1.0,6.0,3.0,2687046.276
8132,Taraba,Townhouse,4.0,5.0,4.0,1888880.066
4316,Oyo,Detached duplex,8.0,5.0,6.0,3571564.98
2340,Katsina,Flat,3.0,2.0,2.0,1230014.981
4211,Nasarawa,Semi-detached duplex,4.0,2.0,2.0,1934792.382
2157,Kaduna,Cottage,5.0,1.0,3.0,1226377.252
1215,Cross River,Apartment,3.0,2.0,3.0,1444513.165
1107,Zamfara,Mansion,1.0,1.0,3.0,2881682.954
2494,Sokoto,Apartment,6.0,2.0,5.0,1574193.772
3154,Plateau,Terrace duplex,3.0,3.0,1.0,1281871.563
11342,Edo,Apartment,5.0,5.0,1.0,1825233.344
11269,Cross River,Townhouse,7.0,6.0,4.0,3292169.361
1434,Imo,Mansion,2.0,2.0,3.0,1596635.146
1917,Ondo,Penthouse,3.0,1.0,3.0,2305736.653
1240,Sokoto,Flat,3.0,2.0,2.0,1108004.241
1173,Jigawa,Bungalow,2.0,1.0,4.0,914752.5784
2089,Kaduna,Mansion,9.0,2.0,3.0,4694243.682
9731,Kano,Townhouse,7.0,3.0,2.0,2621577.091
2043,Imo,Detached duplex,2.0,1.0,2.0,1548200.838
2804,Ondo,Townhouse,1.0,2.0,2.0,1503836.215
6703,Taraba,Semi-detached duplex,4.0,3.0,3.0,1593541.743
4868,Cross River,Detached duplex,7.0,4.0,5.0,3477021.652
1616,Rivers,Mansion,3.0,1.0,4.0,5790058.642
4324,Bayelsa,Flat,7.0,1.0,3.0,3066065.157
10215,Imo,Mansion,2.0,6.0,3.0,3010288.987
1470,Nasarawa,Cottage,5.0,2.0,1.0,1319023.311
2706,Gombe,Flat,4.0,2.0,4.0,1091535.781
7614,Borno,Townhouse,1.0,5.0,6.0,1175155.481
3616,Anambra,Cottage,1.0,1.0,2.0,1222589.963
2467,Enugu,Flat,5.0,2.0,3.0,1781888.872
11413,Kogi,Semi-detached duplex,4.0,2.0,5.0,1262859.847
4332,Edo,Townhouse,8.0,2.0,1.0,3153413.341
736,Kogi,Cottage,3.0,1.0,3.0,1188623.289
7590,Abia,Flat,3.0,2.0,3.0,1150006.404
12173,Anambra,Terrace duplex,2.0,2.0,6.0,1569212.473
5608,Osun,Terrace duplex,6.0,2.0,3.0,2192464.802
2455,Ogun,Detached duplex,9.0,4.0,3.0,3954340.291
320,Kebbi,Cottage,3.0,1.0,4.0,842854.0528
12399,Niger,Penthouse,3.0,1.0,3.0,1975135.329
2510,Ogun,Townhouse,3.0,2.0,5.0,2362122.935
2273,Taraba,Detached duplex,4.0,1.0,2.0,1977297.012
6846,Imo,Detached duplex,2.0,6.0,1.0,1743465.232
1901,Sokoto,Terrace duplex,1.0,3.0,1.0,838786.9425
11211,Kano,Bungalow,4.0,4.0,5.0,2126936.695
2730,Rivers,Flat,2.0,3.0,1.0,1671004.047
9394,Abia,Detached duplex,5.0,4.0,6.0,2050983.376
12711,Bayelsa,Townhouse,6.0,4.0,2.0,3482684.79
2745,Oyo,Cottage,1.0,1.0,2.0,1176048.263
12851,Benue,Terrace duplex,1.0,5.0,3.0,1136471.731
3186,Lagos,Flat,3.0,1.0,2.0,3840740.335
10118,Benue,Apartment,7.0,2.0,5.0,1987295.257
2745,Kaduna,Mansion,4.0,2.0,1.0,1438677.574
1967,Kebbi,Mansion,1.0,2.0,3.0,834522.9902
12618,Bayelsa,Semi-detached duplex,9.0,2.0,5.0,4163708.335
3375,Ondo,Terrace duplex,2.0,3.0,2.0,1532432.288
4549,Imo,Flat,1.0,6.0,3.0,1195135.387
4241,Anambra,Townhouse,6.0,5.0,3.0,2692795.939
10990,Gombe,Bungalow,1.0,5.0,3.0,1017936.098
2977,Rivers,Detached duplex,3.0,2.0,3.0,2305989.058
9574,Rivers,Townhouse,6.0,5.0,6.0,3505772.448
11488,Benue,Bungalow,4.0,6.0,3.0,1652670.532
11843,Jigawa,Penthouse,4.0,3.0,5.0,1818517.464
2859,Kebbi,Detached duplex,4.0,2.0,4.0,1220293.736
7327,Abia,Mansion,6.0,1.0,3.0,3140597.975
256,Zamfara,Semi-detached duplex,6.0,2.0,3.0,1950095.569
1888,Gombe,Townhouse,3.0,2.0,4.0,1495613.036
12811,Enugu,Detached duplex,7.0,7.0,4.0,3346008.951
3414,Kwara,Semi-detached duplex,4.0,3.0,6.0,1710657.729
2266,Ebonyi,Cottage,3.0,2.0,1.0,702253.895
780,Jigawa,Semi-detached duplex,1.0,2.0,3.0,931669.1302
2211,Bayelsa,Townhouse,4.0,1.0,3.0,2516769.89
782,Imo,Mansion,4.0,2.0,6.0,4187909.281
1309,Zamfara,Semi-detached duplex,2.0,1.0,2.0,1032001.738
1963,Anambra,Penthouse,1.0,2.0,4.0,2123663.807
2208,Imo,Bungalow,4.0,1.0,4.0,1422912.238
3844,Yobe,Semi-detached duplex,2.0,1.0,4.0,1107413.954
6250,Nasarawa,Bungalow,4.0,2.0,3.0,1558301.284
9003,Lagos,Semi-detached duplex,4.0,7.0,5.0,3189183.516
8916,Kebbi,Bungalow,1.0,4.0,2.0,853773.1773
1529,Bayelsa,Penthouse,1.0,4.0,1.0,2558839.358
3015,Oyo,Semi-detached duplex,2.0,2.0,3.0,1548948.973
5931,Benue,Flat,8.0,2.0,4.0,2417316.926
10830,Yobe,Detached duplex,1.0,1.0,3.0,1034755.841
8523,Anambra,Mansion,6.0,3.0,5.0,4623665.195
7342,Yobe,Detached duplex,4.0,2.0,4.0,1755534.21
1626,Nasarawa,Flat,9.0,4.0,4.0,2729372.316
4191,Zamfara,Semi-detached duplex,5.0,4.0,3.0,1697199.833
2417,Kwara,Flat,9.0,2.0,5.0,2481121.686
11940,Zamfara,Detached duplex,4.0,3.0,6.0,2437399.621
2143,Gombe,Semi-detached duplex,6.0,2.0,6.0,2150359.892
621,Katsina,Apartment,9.0,4.0,6.0,2352965.312
3132,Akwa Ibom,Penthouse,4.0,1.0,2.0,2970083.038
4795,Bayelsa,Flat,4.0,1.0,2.0,2215085.181
1005,Jigawa,Bungalow,8.0,1.0,3.0,1991188.827
12226,Delta,Townhouse,6.0,2.0,3.0,3101954.274
262,Oyo,Mansion,7.0,4.0,6.0,5149330.701
54,Akwa Ibom,Apartment,5.0,2.0,3.0,2164976.933
5067,Enugu,Flat,4.0,5.0,3.0,1810802.742
1964,Nasarawa,Cottage,2.0,1.0,4.0,1394147.99
12186,Sokoto,Townhouse,2.0,4.0,3.0,1300597.003
12419,Bayelsa,Detached duplex,5.0,1.0,3.0,3232095.711
2047,Anambra,Mansion,4.0,2.0,1.0,3922024.506
7662,Akwa Ibom,Penthouse,9.0,2.0,3.0,4642589.355
2986,Bauchi,Apartment,2.0,1.0,3.0,889044.7477
2340,Yobe,Bungalow,5.0,4.0,3.0,1612536.9
2993,Akwa Ibom,Flat,4.0,1.0,3.0,1806405.687
10241,Cross River,Semi-detached duplex,3.0,7.0,3.0,2021721.714
10486,Ogun,Apartment,9.0,5.0,6.0,2946173.11
2799,Yobe,Terrace duplex,3.0,5.0,6.0,1416950.981
7836,Ondo,Semi-detached duplex,3.0,2.0,3.0,1918885.602
1691,Kwara,Terrace duplex,4.0,6.0,2.0,1923379.488
8737,Kogi,Penthouse,2.0,4.0,6.0,1891074.467
3755,Kogi,Flat,4.0,7.0,3.0,2198943.715
2934,Benue,Terrace duplex,4.0,7.0,4.0,2835093.693
1267,Edo,Apartment,4.0,1.0,4.0,1757092.101
8173,Kogi,Mansion,6.0,5.0,2.0,3808731.495
1132,Imo,Bungalow,5.0,1.0,3.0,1657537.213
3372,Borno,Flat,3.0,2.0,3.0,1087825.539
1006,Cross River,Terrace duplex,2.0,1.0,3.0,1464855.708
8032,Nasarawa,Penthouse,3.0,5.0,4.0,2344166.517
3043,Jigawa,Semi-detached duplex,4.0,2.0,4.0,1385992.295
9994,Bayelsa,Bungalow,4.0,6.0,4.0,2818492.317
955,Ebonyi,Mansion,4.0,2.0,2.0,3816216.512
5255,Lagos,Penthouse,8.0,7.0,2.0,6336262.513
7809,Niger,Apartment,3.0,3.0,6.0,1232069.776
8006,Adamawa,Bungalow,2.0,2.0,4.0,1118895.392
10027,Katsina,Bungalow,4.0,3.0,2.0,1857575.464
2763,Anambra,Flat,5.0,2.0,4.0,1796728.77
2951,Abia,Apartment,1.0,2.0,3.0,723732.5162
3788,Yobe,Penthouse,9.0,1.0,3.0,2997190.454
3436,Sokoto,Bungalow,7.0,2.0,4.0,1886849.477
2151,Ebonyi,Cottage,5.0,2.0,1.0,1087627.953
1705,Anambra,Apartment,6.0,4.0,2.0,2014725.407
2621,Katsina,Mansion,2.0,2.0,1.0,2296502.316
8415,Lagos,Mansion,8.0,5.0,2.0,8593197.387
12491,Kano,Bungalow,9.0,7.0,3.0,2811670.496
3444,Nasarawa,Cottage,3.0,1.0,2.0,1620193.053
8178,Ogun,Penthouse,5.0,2.0,3.0,3195932.936
1847,Ekiti,Apartment,4.0,2.0,2.0,1469848.315
3391,Oyo,Townhouse,3.0,2.0,1.0,1831111.994
6534,Yobe,Detached duplex,9.0,2.0,4.0,2971448.921
11555,Ondo,Semi-detached duplex,2.0,2.0,2.0,1584248.209
10836,Kogi,Detached duplex,7.0,5.0,3.0,2692598.525
1384,Kogi,Terrace duplex,3.0,2.0,3.0,1216396.499
7087,Nasarawa,Penthouse,1.0,2.0,4.0,1669500.123
1771,Oyo,Mansion,3.0,2.0,1.0,4357929.449
7181,Anambra,Detached duplex,8.0,1.0,1.0,3177279.419
2833,Delta,Cottage,3.0,1.0,2.0,1334171.262
5302,Imo,Semi-detached duplex,9.0,5.0,4.0,3001242.07
2935,Oyo,Bungalow,4.0,6.0,5.0,1954061.906
5954,Kwara,Semi-detached duplex,2.0,3.0,4.0,1274677.109
1108,Plateau,Flat,4.0,2.0,1.0,1352385.689
10667,Ogun,Apartment,5.0,2.0,6.0,2050983.376
11720,Benue,Mansion,1.0,5.0,2.0,2272379.087
533,Katsina,Terrace duplex,4.0,5.0,6.0,1981831.817
5976,Kogi,Terrace duplex,6.0,2.0,5.0,2056455.777
3281,Kogi,Penthouse,5.0,1.0,3.0,2007956.992
1687,Nasarawa,Penthouse,6.0,5.0,4.0,3133746.415
1012,Katsina,Townhouse,4.0,1.0,3.0,1648738.447
12904,Kebbi,Terrace duplex,6.0,6.0,3.0,1991086.164
11002,Ogun,Detached duplex,5.0,7.0,1.0,2950483.862
557,Delta,Semi-detached duplex,3.0,1.0,3.0,1793117.724
9383,Kebbi,Detached duplex,1.0,2.0,5.0,1185280.691
3222,Nasarawa,Semi-detached duplex,4.0,7.0,2.0,1725284.602
1845,Katsina,Mansion,1.0,1.0,2.0,2963837.234
297,Niger,Flat,5.0,2.0,4.0,1472503.217
2679,Enugu,Townhouse,6.0,4.0,1.0,2611318.638
7680,Kogi,Detached duplex,9.0,1.0,4.0,3013000.388
2402,Imo,Penthouse,4.0,1.0,2.0,2544988.335
129,Oyo,Bungalow,2.0,3.0,2.0,1365726.702
478,Nasarawa,Bungalow,5.0,5.0,3.0,1888139.029
2527,Oyo,Apartment,7.0,2.0,2.0,2184074.472
1581,Ebonyi,Penthouse,4.0,2.0,1.0,1913201.079
10688,Plateau,Bungalow,4.0,3.0,1.0,1268778.565
4931,Niger,Penthouse,4.0,6.0,3.0,1661517.147
59,Bauchi,Flat,5.0,1.0,2.0,1366599.02
5062,Imo,Bungalow,2.0,5.0,3.0,1298311.633
717,Cross River,Semi-detached duplex,4.0,2.0,3.0,2053788.798
11964,Gombe,Penthouse,4.0,7.0,3.0,3418575.901
2105,Kaduna,Bungalow,4.0,1.0,3.0,1160831.457
10677,Katsina,Townhouse,7.0,6.0,1.0,2494268.203
4123,Borno,Mansion,4.0,4.0,4.0,2847927.368
3565,Delta,Mansion,3.0,1.0,2.0,5346209.453
4341,Zamfara,Flat,5.0,6.0,3.0,1594483.223
1225,Lagos,Bungalow,4.0,4.0,3.0,2292653.521
673,Nasarawa,Bungalow,1.0,1.0,3.0,1018018.299
915,Ondo,Detached duplex,5.0,2.0,2.0,2335697.337
8041,Nasarawa,Terrace duplex,4.0,1.0,4.0,1749621.477
1280,Kwara,Mansion,2.0,2.0,3.0,1447774.134
6211,Ogun,Terrace duplex,2.0,7.0,1.0,1791920.864
6926,Osun,Apartment,6.0,1.0,1.0,1754927.966
12432,Akwa Ibom,Terrace duplex,3.0,4.0,3.0,2165072.936
2648,Enugu,Semi-detached duplex,2.0,1.0,3.0,1347537.705
2685,Bauchi,Townhouse,1.0,1.0,3.0,931977.3105
9582,Ekiti,Penthouse,8.0,2.0,4.0,3731548.718
11391,Abia,Flat,4.0,6.0,6.0,1314297.514
3641,Kaduna,Detached duplex,1.0,2.0,3.0,1244327.98
3436,Yobe,Cottage,5.0,1.0,2.0,1511831.546
11655,Delta,Semi-detached duplex,9.0,5.0,3.0,3781399.545
10946,Kaduna,Apartment,2.0,1.0,6.0,1007380.972
5983,Ekiti,Semi-detached duplex,4.0,5.0,6.0,1960905.736
853,Zamfara,Penthouse,9.0,5.0,2.0,3204954.871
3821,Kebbi,Semi-detached duplex,1.0,2.0,2.0,698734.1093
1608,Cross River,Flat,4.0,2.0,3.0,1862522.587
2552,Ebonyi,Penthouse,5.0,1.0,3.0,2115336.706
2728,Oyo,Apartment,6.0,1.0,5.0,1980258.393
774,Bayelsa,Flat,4.0,2.0,3.0,2302863.324
7048,Jigawa,Detached duplex,2.0,1.0,4.0,1277087.223
1123,Cross River,Apartment,4.0,2.0,1.0,1663710.445
1629,Niger,Detached duplex,6.0,7.0,2.0,2521415.693
3882,Taraba,Mansion,9.0,2.0,6.0,4743692.653
6536,Kebbi,Semi-detached duplex,2.0,4.0,2.0,1124507.943
3178,Ondo,Cottage,3.0,2.0,3.0,1605268.623
3002,Edo,Terrace duplex,6.0,5.0,3.0,2507471.944
6215,Oyo,Penthouse,3.0,3.0,6.0,2534579.732
2613,Taraba,Townhouse,7.0,3.0,6.0,2506928.88
10959,Bauchi,Mansion,5.0,4.0,3.0,3176906.128
7688,Ondo,Semi-detached duplex,8.0,2.0,5.0,2943203.74
10903,Adamawa,Townhouse,4.0,7.0,1.0,2533424.269
1665,Kebbi,Detached duplex,2.0,5.0,4.0,1427838.076
5401,Niger,Penthouse,7.0,2.0,5.0,2978426.56
2694,Plateau,Cottage,4.0,2.0,3.0,1119031.652
1582,Ekiti,Mansion,4.0,1.0,4.0,1593803.209
3096,Plateau,Penthouse,1.0,2.0,3.0,1625234.094
456,Bauchi,Townhouse,8.0,5.0,4.0,2504057.683
1753,Niger,Townhouse,8.0,1.0,3.0,2570391.75
10715,Gombe,Apartment,1.0,5.0,3.0,954054.592
865,Sokoto,Detached duplex,5.0,1.0,3.0,1727871.213
1292,Adamawa,Cottage,3.0,2.0,3.0,1109058.698
2741,Ogun,Flat,5.0,2.0,3.0,2153224.277
2465,Adamawa,Mansion,4.0,2.0,5.0,3255222.829
10930,Enugu,Semi-detached duplex,4.0,5.0,4.0,2768236.231
1583,Ekiti,Apartment,4.0,2.0,3.0,1486538.278
6160,Benue,Penthouse,6.0,4.0,2.0,2727734.25
4060,Edo,Terrace duplex,7.0,3.0,5.0,2797515.228
8227,Delta,Penthouse,4.0,1.0,1.0,2899796.196
248,Rivers,Bungalow,4.0,2.0,3.0,2123953.985
4560,Nasarawa,Terrace duplex,1.0,3.0,2.0,1164182.188
10405,Ebonyi,Semi-detached duplex,1.0,7.0,6.0,1126275.84
1629,Nasarawa,Flat,5.0,1.0,1.0,1647903.197
586,Bauchi,Bungalow,2.0,5.0,2.0,1044145.787
8674,Nasarawa,Detached duplex,7.0,6.0,3.0,2931613.267
6791,Kebbi,Bungalow,4.0,6.0,1.0,1053336.991
2580,Oyo,Semi-detached duplex,2.0,7.0,4.0,1730907.349
9168,Kwara,Townhouse,2.0,6.0,3.0,1490576.396
3782,Adamawa,Detached duplex,4.0,1.0,3.0,1811437.554
9512,Kaduna,Penthouse,7.0,4.0,6.0,3114065.837
862,Edo,Detached duplex,4.0,5.0,1.0,1866170.076
9636,Anambra,Mansion,4.0,3.0,6.0,4317247.329
11377,Kebbi,Apartment,4.0,5.0,2.0,1598320.682
6446,Plateau,Semi-detached duplex,3.0,3.0,5.0,1490270.353
11255,Nasarawa,Flat,4.0,2.0,6.0,1101019.945
2139,Borno,Terrace duplex,1.0,7.0,3.0,1064789.947
3807,Ogun,Detached duplex,2.0,2.0,3.0,1859659.904
9611,Lagos,Townhouse,3.0,5.0,3.0,3294442.905
8190,Oyo,Mansion,9.0,1.0,6.0,5618725.557
11370,Enugu,Semi-detached duplex,1.0,3.0,4.0,1344354.753
4719,Ekiti,Townhouse,2.0,6.0,6.0,1745414.769
664,Oyo,Cottage,2.0,1.0,3.0,973124.3946
1886,Imo,Mansion,5.0,2.0,1.0,4882577.642
3236,Edo,Semi-detached duplex,4.0,6.0,6.0,2184723.398
5603,Bauchi,Penthouse,2.0,6.0,1.0,1615069.28
6329,Niger,Apartment,9.0,2.0,5.0,2279928.778
9319,Imo,Bungalow,6.0,6.0,3.0,2150571.219
2278,Borno,Detached duplex,2.0,2.0,2.0,1230025.515
404,Katsina,Cottage,4.0,1.0,4.0,1460385.056
9301,Rivers,Bungalow,1.0,7.0,6.0,1813920.553
2820,Akwa Ibom,Terrace duplex,1.0,2.0,1.0,1663992.469
8331,Abia,Detached duplex,5.0,2.0,4.0,2076259.186
6771,Sokoto,Terrace duplex,8.0,3.0,5.0,2411934.911
1216,Imo,Cottage,3.0,1.0,3.0,1467857.085
8761,Enugu,Detached duplex,2.0,1.0,3.0,1686597.156
9145,Imo,Flat,4.0,3.0,4.0,1089414.01
11825,Bayelsa,Townhouse,1.0,3.0,3.0,2052523.485
4274,Taraba,Detached duplex,7.0,6.0,4.0,2764298.55
2852,Niger,Townhouse,4.0,2.0,3.0,1680463.349
590,Katsina,Penthouse,2.0,1.0,1.0,1569198.276
8572,Cross River,Semi-detached duplex,3.0,2.0,5.0,1908271.142
7206,Ondo,Penthouse,4.0,1.0,6.0,2685123.238
2812,Zamfara,Detached duplex,2.0,2.0,4.0,1326707.486
482,Imo,Mansion,3.0,7.0,3.0,3424134.735
2197,Akwa Ibom,Flat,4.0,1.0,3.0,1708996.307
6182,Bayelsa,Bungalow,3.0,5.0,5.0,2290953.886
3246,Rivers,Bungalow,4.0,4.0,3.0,1559711.377
8999,Borno,Apartment,5.0,4.0,3.0,1450447.288
1142,Delta,Detached duplex,5.0,3.0,2.0,2962917.954
1384,Osun,Mansion,5.0,2.0,2.0,4776367.201
2319,Enugu,Terrace duplex,1.0,1.0,2.0,1192142.063
10527,Plateau,Townhouse,1.0,1.0,6.0,1176460.425
373,Ebonyi,Detached duplex,9.0,4.0,1.0,2783236.357
11584,Kebbi,Terrace duplex,9.0,3.0,5.0,2486807.974
3699,Edo,Detached duplex,5.0,1.0,1.0,2354394.038
12801,Abia,Detached duplex,4.0,5.0,4.0,1830909.636
386,Ebonyi,Apartment,7.0,4.0,2.0,1748679.812
7743,Plateau,Flat,4.0,7.0,2.0,2575284.09
3762,Yobe,Apartment,4.0,2.0,3.0,1153863.406
3559,Edo,Mansion,4.0,3.0,2.0,5182253.192
588,Nasarawa,Penthouse,1.0,2.0,2.0,1650640.478
1565,Nasarawa,Bungalow,5.0,5.0,5.0,1958408.62
2432,Adamawa,Mansion,2.0,5.0,2.0,2569140.861
9555,Cross River,Mansion,1.0,4.0,4.0,3132091.556
10265,Katsina,Townhouse,6.0,7.0,3.0,2367927.861
1183,Nasarawa,Cottage,4.0,1.0,1.0,1129418.422
1090,Imo,Mansion,8.0,5.0,4.0,5018797.135
5144,Kwara,Mansion,6.0,2.0,5.0,4105871.459
10233,Cross River,Semi-detached duplex,4.0,1.0,2.0,1997789.805
8621,Imo,Mansion,9.0,7.0,3.0,5368036.918
3389,Akwa Ibom,Townhouse,4.0,4.0,2.0,2792600.084
11957,Kogi,Mansion,5.0,5.0,1.0,3444015.313
8111,Plateau,Penthouse,5.0,2.0,3.0,2445227.489
1380,Lagos,Semi-detached duplex,2.0,3.0,4.0,2534802.864
1136,Niger,Mansion,3.0,2.0,1.0,1561050.747
12910,Oyo,Bungalow,8.0,3.0,2.0,2661834.172
6429,Kaduna,Semi-detached duplex,8.0,2.0,2.0,2436527.192
2731,Adamawa,Bungalow,5.0,3.0,3.0,1550772.657
1493,Bayelsa,Penthouse,1.0,3.0,1.0,2469759.308
335,Ebonyi,Detached duplex,2.0,2.0,1.0,1178802.429
2452,Osun,Mansion,4.0,1.0,1.0,4335301.233
4428,Ekiti,Flat,1.0,2.0,4.0,1018933.092
1922,Osun,Terrace duplex,6.0,3.0,2.0,2166113.706
4885,Anambra,Townhouse,3.0,2.0,3.0,1859993.419
7205,Niger,Flat,2.0,7.0,2.0,1233878.415
1359,Cross River,Bungalow,4.0,2.0,6.0,2194502.472
10845,Edo,Bungalow,5.0,5.0,6.0,2152774.653
4508,Kaduna,Terrace duplex,6.0,1.0,2.0,1950945.726
5590,Plateau,Bungalow,5.0,2.0,4.0,1675273.185
8934,Jigawa,Mansion,5.0,2.0,6.0,3415464.856
4158,Kogi,Bungalow,6.0,3.0,1.0,1836754.845
7656,Benue,Flat,1.0,1.0,3.0,871816.0686
5128,Oyo,Townhouse,4.0,7.0,2.0,1840992.027
1754,Anambra,Cottage,2.0,1.0,2.0,1008065.394
11379,Cross River,Flat,4.0,7.0,3.0,2100982.871
5015,Katsina,Apartment,2.0,3.0,6.0,1062199.464
11352,Enugu,Penthouse,8.0,1.0,3.0,3701155.998
1389,Ebonyi,Cottage,5.0,1.0,3.0,1052253.226
2294,Anambra,Mansion,5.0,1.0,3.0,2391577.038
2470,Yobe,Bungalow,2.0,1.0,1.0,915602.6586
562,Ogun,Mansion,4.0,2.0,4.0,5674084.542
4392,Kogi,Townhouse,5.0,1.0,4.0,1944098.841
969,Yobe,Cottage,3.0,2.0,1.0,753945.815
853,Kogi,Cottage,4.0,2.0,2.0,954471.7071
11567,Adamawa,Apartment,3.0,4.0,2.0,1186606.853
1092,Kebbi,Detached duplex,4.0,1.0,1.0,719496.2411
7741,Sokoto,Bungalow,1.0,3.0,1.0,808145.8891
6227,Plateau,Flat,4.0,1.0,4.0,1454405.03
1881,Delta,Flat,7.0,6.0,3.0,2925020.642
9,Kaduna,Townhouse,4.0,1.0,3.0,1566541.374
10387,Yobe,Detached duplex,9.0,5.0,2.0,2845973.878
11635,Delta,Semi-detached duplex,9.0,2.0,3.0,3517413.093
9498,Jigawa,Penthouse,4.0,5.0,2.0,2732532.271
442,Delta,Flat,1.0,1.0,4.0,1436562.752
9107,Edo,Bungalow,7.0,6.0,4.0,2572345.527
2007,Kano,Bungalow,5.0,1.0,4.0,1648695.428
1735,Jigawa,Terrace duplex,7.0,2.0,3.0,2020608.451
9412,Bayelsa,Terrace duplex,4.0,7.0,3.0,2402434.754
2044,Borno,Mansion,2.0,7.0,5.0,2527316.388
5562,Lagos,Semi-detached duplex,9.0,7.0,3.0,4994274.085
8281,Kano,Penthouse,2.0,3.0,4.0,1974746.973
1982,Nasarawa,Apartment,4.0,2.0,2.0,1343387.74
1717,Yobe,Semi-detached duplex,4.0,7.0,2.0,2548663.689
965,Bayelsa,Townhouse,1.0,2.0,2.0,1858817.59
2247,Lagos,Apartment,4.0,1.0,1.0,3759801.228
3468,Sokoto,Bungalow,9.0,4.0,2.0,2280093.143
848,Jigawa,Semi-detached duplex,3.0,1.0,4.0,1144650.498
3873,Akwa Ibom,Penthouse,4.0,2.0,3.0,3415616.65
12213,Kaduna,Bungalow,5.0,2.0,1.0,1612811.326
441,Kebbi,Flat,1.0,1.0,3.0,587975.7395
1700,Yobe,Mansion,4.0,1.0,3.0,1728009.813
2134,Edo,Terrace duplex,4.0,2.0,3.0,1464594.673
1773,Ebonyi,Semi-detached duplex,5.0,3.0,4.0,1686859.729
6512,Gombe,Detached duplex,2.0,1.0,4.0,1437447.494
1156,Imo,Cottage,3.0,1.0,2.0,1419129.209
636,Lagos,Terrace duplex,2.0,1.0,1.0,3771720.039
366,Borno,Penthouse,4.0,1.0,4.0,1450502.019
2155,Edo,Detached duplex,4.0,2.0,2.0,1880351.378
8804,Sokoto,Apartment,6.0,5.0,3.0,1614261.469
10016,Borno,Townhouse,2.0,2.0,2.0,1163756.23
11993,Kwara,Apartment,5.0,2.0,4.0,1521282.324
1251,Osun,Bungalow,2.0,1.0,3.0,1236750.649
12962,Gombe,Mansion,1.0,1.0,4.0,2073690.932
1234,Oyo,Detached duplex,5.0,2.0,3.0,2309804.736
