,ID,loc,title,bedroom,bathroom,parking_space,price,region,log_price,sqrt_price,bath_to_bed_ratio
22,2223,Osun,Mansion,2.0,1.0,3.0,4163334.857,South West,15.241826959406362,2040.4251657436496,0.5
23,1378,Enugu,Apartment,1.0,1.0,4.0,1125336.334,South East,13.933592512495514,1060.8187092995674,1.0
24,10758,Edo,Flat,6.0,7.0,6.0,2446005.185,South South,14.709966715014415,1563.9709668021335,1.167
25,425,Nasarawa,Townhouse,5.0,2.0,3.0,2234301.476,North Central,14.619439198476947,1494.757999142336,0.4
28,1787,Kwara,Flat,5.0,2.0,1.0,1492238.896,North Central,14.215788164890798,1221.572304859602,0.4
29,2825,Kano,Penthouse,1.0,1.0,1.0,1664232.445,North West,14.324874581112288,1290.0513342499205,1.0
30,404,Kano,Terrace duplex,5.0,5.0,5.0,2147791.41,North West,14.579950620956966,1465.5345134114039,1.0
31,12131,Osun,Penthouse,6.0,2.0,2.0,3114886.77,South West,14.951703359623274,1764.904181535077,0.333
32,11051,Delta,Terrace duplex,9.0,3.0,1.0,3500004.19,South South,15.068274723601782,1870.829813211239,0.333
33,8297,Osun,Semi-detached duplex,3.0,7.0,3.0,1751635.699,South West,14.376060594496396,1323.49374724628,2.333
34,5890,Yobe,Semi-detached duplex,9.0,3.0,3.0,2507303.272,North East,14.734718339907905,1583.4466432437816,0.333
35,11872,Edo,Mansion,5.0,6.0,3.0,4596234.296,South South,15.340747894893386,2143.882994941655,1.2
37,8642,Abia,Apartment,6.0,1.0,3.0,1518329.108,South East,14.233121017128253,1232.204978077917,0.167
40,7325,Katsina,Mansion,4.0,2.0,4.0,2444849.231,North West,14.709494014777114,1563.6013657579097,0.5
41,1000,Edo,Townhouse,4.0,1.0,1.0,1918782.352,South South,14.4672013511527,1385.2011954947195,0.25
42,2996,Ebonyi,Flat,4.0,2.0,1.0,1167521.163,South East,13.970393395127497,1080.5189322728222,0.5
43,5733,Delta,Mansion,3.0,6.0,1.0,4223442.423,South South,15.256161093524504,2055.101560264115,2.0
44,5947,Benue,Bungalow,7.0,4.0,6.0,2167431.017,North Central,14.589053161063477,1472.2197583920683,0.571
45,5049,Benue,Detached duplex,5.0,7.0,4.0,2352604.128,North Central,14.671033412161364,1533.820109400056,1.4
47,92,Rivers,Bungalow,2.0,2.0,3.0,1711290.282,South South,14.352758194825642,1308.1629416857825,1.0
48,446,Bayelsa,Penthouse,2.0,2.0,2.0,3225484.923,South South,14.98659386062945,1795.9635082595637,1.0
49,2642,Kogi,Cottage,1.0,2.0,3.0,643193.3905,North Central,13.374200720830165,801.9933855712278,2.0
50,9645,Bauchi,Mansion,4.0,7.0,2.0,3822595.558,North East,15.15644021529565,1955.145917316659,1.75
51,1761,Kano,Cottage,1.0,2.0,2.0,750033.2902,North West,13.527872871460756,866.0446236770944,2.0
52,1085,Cross River,Flat,2.0,2.0,4.0,1458366.968,South South,14.192827852611206,1207.6286548438638,1.0
54,1,Niger,Semi-detached duplex,4.0,2.0,2.0,1476299.188,North Central,14.205048965498321,1215.0305296575884,0.5
56,169,Adamawa,Apartment,1.0,1.0,2.0,804146.0644,North East,13.597536203800022,896.741916272458,1.0
58,1127,Osun,Terrace duplex,8.0,3.0,4.0,2857231.23,South West,14.865363612484614,1690.3346502985733,0.375
59,11198,Plateau,Terrace duplex,4.0,1.0,1.0,1723753.995,North Central,14.360015025708428,1312.9181219710542,0.25
61,2078,Imo,Mansion,1.0,2.0,3.0,2463522.102,South East,14.717102632714015,1569.5611176376663,2.0
62,4180,Abia,Apartment,3.0,2.0,4.0,1052994.711,South East,13.867148768311475,1026.1553054971746,0.667
63,6687,Kano,Mansion,1.0,6.0,3.0,2687046.276,North West,14.8039531096302,1639.2212407115765,6.0
64,8132,Taraba,Townhouse,4.0,5.0,4.0,1888880.066,North East,14.451494653732185,1374.3653320714984,1.25
65,4316,Oyo,Detached duplex,8.0,5.0,6.0,3571564.98,South West,15.088514427447773,1889.8584550172004,0.625
67,2340,Katsina,Flat,3.0,2.0,2.0,1230014.981,North West,14.022536906949226,1109.060404576775,0.667
68,4211,Nasarawa,Semi-detached duplex,4.0,2.0,2.0,1934792.382,North Central,14.475510582565347,1390.9681455734349,0.5
69,2157,Kaduna,Cottage,5.0,1.0,3.0,1226377.252,North West,14.019575057770194,1107.4191853133123,0.2
70,1215,Cross River,Apartment,3.0,2.0,3.0,1444513.165,South South,14.183282912727131,1201.879014293868,0.667
71,1107,Zamfara,Mansion,1.0,1.0,3.0,2881682.954,North West,14.873885040468656,1697.5520475084115,1.0
73,2494,Sokoto,Apartment,6.0,2.0,5.0,1574193.772,North West,14.2692538083874,1254.6687897608676,0.333
74,3154,Plateau,Terrace duplex,3.0,3.0,1.0,1281871.563,North Central,14.063831726576518,1132.1976695789476,1.0
75,11342,Edo,Apartment,5.0,5.0,1.0,1825233.344,South South,14.417218396551398,1351.0119703392713,1.0
76,11269,Cross River,Townhouse,7.0,6.0,4.0,3292169.361,South South,15.007057285689077,1814.4336198935468,0.857
77,1434,Imo,Mansion,2.0,2.0,3.0,1596635.146,South East,14.283408938979235,1263.580288703492,1.0
78,1917,Ondo,Penthouse,3.0,1.0,3.0,2305736.653,South West,14.650910772509164,1518.4652294339835,0.333
80,1240,Sokoto,Flat,3.0,2.0,2.0,1108004.241,North West,13.918070973899368,1052.6178038585515,0.667
81,1173,Jigawa,Bungalow,2.0,1.0,4.0,914752.5784,North West,13.726408901571112,956.4269853993037,0.5
82,2089,Kaduna,Mansion,9.0,2.0,3.0,4694243.682,North West,15.361847567552251,2166.62033637645,0.222
83,9731,Kano,Townhouse,7.0,3.0,2.0,2621577.091,North West,14.779286637771953,1619.1284973713482,0.429
84,2043,Imo,Detached duplex,2.0,1.0,2.0,1548200.838,South East,14.252604065026341,1244.267189151912,0.5
86,2804,Ondo,Townhouse,1.0,2.0,2.0,1503836.215,South West,14.223529877960866,1226.3099995515001,2.0
88,6703,Taraba,Semi-detached duplex,4.0,3.0,3.0,1593541.743,North East,14.281469608291843,1262.355632537836,0.75
89,4868,Cross River,Detached duplex,7.0,4.0,5.0,3477021.652,South South,15.061686638177973,1864.6773586870195,0.571
90,1616,Rivers,Mansion,3.0,1.0,4.0,5790058.642,South South,15.571652977649874,2406.254068464093,0.333
91,4324,Bayelsa,Flat,7.0,1.0,3.0,3066065.157,South South,14.935905589655798,1751.018320006961,0.143
92,10215,Imo,Mansion,2.0,6.0,3.0,3010288.987,South East,14.917546641086592,1735.018439959645,3.0
93,1470,Nasarawa,Cottage,5.0,2.0,1.0,1319023.311,North Central,14.092402104780582,1148.4874013240199,0.4
95,2706,Gombe,Flat,4.0,2.0,4.0,1091535.781,North East,13.903096235928192,1044.7658977014898,0.5
96,7614,Borno,Townhouse,1.0,5.0,6.0,1175155.481,North East,13.976911021061634,1084.0458850989658,5.0
98,3616,Anambra,Cottage,1.0,1.0,2.0,1222589.963,South East,14.016482086989653,1105.7079013012433,1.0
101,2467,Enugu,Flat,5.0,2.0,3.0,1781888.872,South East,14.393184523676645,1334.874103426986,0.4
102,11413,Kogi,Semi-detached duplex,4.0,2.0,5.0,1262859.847,North Central,14.048889426845813,1123.7703711168042,0.5
103,4332,Edo,Townhouse,8.0,2.0,1.0,3153413.341,South South,14.963996024448225,1775.7852744631036,0.25
105,736,Kogi,Cottage,3.0,1.0,3.0,1188623.289,North Central,13.988306295362321,1090.240014400499,0.333
107,7590,Abia,Flat,3.0,2.0,3.0,1150006.404,South East,13.95527806901958,1072.3835153526,0.667
108,12173,Anambra,Terrace duplex,2.0,2.0,6.0,1569212.473,South East,14.266084441922192,1252.6821117107086,1.0
110,5608,Osun,Terrace duplex,6.0,2.0,3.0,2192464.802,South West,14.600536949279771,1480.6974039282977,0.333
111,2455,Ogun,Detached duplex,9.0,4.0,3.0,3954340.291,South West,15.190324341477924,1988.5523103504217,0.444
112,320,Kebbi,Cottage,3.0,1.0,4.0,842854.0528,North West,13.644549093644423,918.0708321257134,0.333
113,12399,Niger,Penthouse,3.0,1.0,3.0,1975135.329,North Central,14.49614747498256,1405.3950793282293,0.333
114,2510,Ogun,Townhouse,3.0,2.0,5.0,2362122.935,South West,14.67507132137912,1536.9199507456465,0.667
116,2273,Taraba,Detached duplex,4.0,1.0,2.0,1977297.012,North East,14.497241324556208,1406.1639349663324,0.25
118,6846,Imo,Detached duplex,2.0,6.0,1.0,1743465.232,South East,14.37138520340202,1320.4034353181607,3.0
119,1901,Sokoto,Terrace duplex,1.0,3.0,1.0,838786.9425,North West,13.639712011007477,915.8531227767911,3.0
120,11211,Kano,Bungalow,4.0,4.0,5.0,2126936.695,North West,14.570193331163061,1458.4021033309023,1.0
122,2730,Rivers,Flat,2.0,3.0,1.0,1671004.047,South South,14.32893522947765,1292.673217406472,1.5
123,9394,Abia,Detached duplex,5.0,4.0,6.0,2050983.376,South East,14.533829931707189,1432.1254749497336,0.8
124,12711,Bayelsa,Townhouse,6.0,4.0,2.0,3482684.79,South South,15.063314045683468,1866.195271133222,0.667
125,2745,Oyo,Cottage,1.0,1.0,2.0,1176048.263,South West,13.977670446564579,1084.4575893044412,1.0
126,12851,Benue,Terrace duplex,1.0,5.0,3.0,1136471.731,North Central,13.943439048230227,1066.0542814509963,5.0
127,3186,Lagos,Flat,3.0,1.0,2.0,3840740.335,South West,15.161175701554148,1959.7806854339594,0.333
128,10118,Benue,Apartment,7.0,2.0,5.0,1987295.257,North Central,14.502285104858267,1409.7146012579992,0.286
129,2745,Kaduna,Mansion,4.0,2.0,1.0,1438677.574,North West,14.17923489822031,1199.448862603154,0.5
130,1967,Kebbi,Mansion,1.0,2.0,3.0,834522.9902,North West,13.634615571375003,913.5222986878864,2.0
131,12618,Bayelsa,Semi-detached duplex,9.0,2.0,5.0,4163708.335,South South,15.241916661835337,2040.5166833427263,0.222
132,3375,Ondo,Terrace duplex,2.0,3.0,2.0,1532432.288,South West,14.24236676180331,1237.914491392681,1.5
133,4549,Imo,Flat,1.0,6.0,3.0,1195135.387,South East,13.993770031491074,1093.222478272378,6.0
134,4241,Anambra,Townhouse,6.0,5.0,3.0,2692795.939,South East,14.806090594321878,1640.9740823669335,0.833
136,10990,Gombe,Bungalow,1.0,5.0,3.0,1017936.098,North East,13.833287702020193,1008.928192687666,5.0
137,2977,Rivers,Detached duplex,3.0,2.0,3.0,2305989.058,South South,14.651020234786875,1518.548339039624,0.667
138,9574,Rivers,Townhouse,6.0,5.0,6.0,3505772.448,South South,15.069921438763147,1872.370809428517,0.833
139,11488,Benue,Bungalow,4.0,6.0,3.0,1652670.532,North Central,14.317903041752738,1285.56234076765,1.5
140,11843,Jigawa,Penthouse,4.0,3.0,5.0,1818517.464,North West,14.413532146882451,1348.5241799834366,0.75
141,2859,Kebbi,Detached duplex,4.0,2.0,4.0,1220293.736,North West,14.01460215494278,1104.6690617556012,0.5
142,7327,Abia,Mansion,6.0,1.0,3.0,3140597.975,South East,14.95992377765153,1772.1732350422178,0.167
143,256,Zamfara,Semi-detached duplex,6.0,2.0,3.0,1950095.569,North West,14.48338893908258,1396.4582231488343,0.333
144,1888,Gombe,Townhouse,3.0,2.0,4.0,1495613.036,North East,14.218046738281396,1222.9525894326403,0.667
146,12811,Enugu,Detached duplex,7.0,7.0,4.0,3346008.951,South East,15.023278835659816,1829.2099253502863,1.0
147,3414,Kwara,Semi-detached duplex,4.0,3.0,6.0,1710657.729,North Central,14.352388491367162,1307.921147852576,0.75
148,2266,Ebonyi,Cottage,3.0,2.0,1.0,702253.895,South East,13.462050291408923,838.0059039171502,0.667
149,780,Jigawa,Semi-detached duplex,1.0,2.0,3.0,931669.1302,North West,13.744733020121556,965.2300918433905,2.0
150,2211,Bayelsa,Townhouse,4.0,1.0,3.0,2516769.89,South South,14.738486847610009,1586.4330713900288,0.25
151,782,Imo,Mansion,4.0,2.0,6.0,4187909.281,South East,15.247712189085608,2046.4381937893947,0.5
152,1309,Zamfara,Semi-detached duplex,2.0,1.0,2.0,1032001.738,North West,13.847010909130754,1015.874863356703,0.5
153,1963,Anambra,Penthouse,1.0,2.0,4.0,2123663.807,South East,14.568653365859213,1457.2795912246902,2.0
154,2208,Imo,Bungalow,4.0,1.0,4.0,1422912.238,South East,14.168216201241753,1192.8588508285463,0.25
155,3844,Yobe,Semi-detached duplex,2.0,1.0,4.0,1107413.954,North East,13.917538083977908,1052.337376510024,0.5
156,6250,Nasarawa,Bungalow,4.0,2.0,3.0,1558301.284,North Central,14.25910686540821,1248.319383811691,0.5
157,9003,Lagos,Semi-detached duplex,4.0,7.0,5.0,3189183.516,South West,14.975275490902776,1785.828523683055,1.75
158,8916,Kebbi,Bungalow,1.0,4.0,2.0,853773.1773,North West,13.657420837141398,923.9984725636725,4.0
159,1529,Bayelsa,Penthouse,1.0,4.0,1.0,2558839.358,South South,14.755064337868621,1599.6372582557585,4.0
160,3015,Oyo,Semi-detached duplex,2.0,2.0,3.0,1548948.973,South West,14.253087176958411,1244.5677856187665,1.0
162,5931,Benue,Flat,8.0,2.0,4.0,2417316.926,North Central,14.698168774796732,1554.7723068025105,0.25
163,10830,Yobe,Detached duplex,1.0,1.0,3.0,1034755.841,North East,13.849676054436795,1017.2294927891149,1.0
164,8523,Anambra,Mansion,6.0,3.0,5.0,4623665.195,South East,15.34669828078731,2150.2709585073226,0.5
166,7342,Yobe,Detached duplex,4.0,2.0,4.0,1755534.21,North East,14.378283761726296,1324.9657391796966,0.5
167,1626,Nasarawa,Flat,9.0,4.0,4.0,2729372.316,North Central,14.819582219846165,1652.08120744714,0.444
168,4191,Zamfara,Semi-detached duplex,5.0,4.0,3.0,1697199.833,North West,14.344490293912942,1302.766223464517,0.8
169,2417,Kwara,Flat,9.0,2.0,5.0,2481121.686,North Central,14.72422130862957,1575.1576702032087,0.222
170,11940,Zamfara,Detached duplex,4.0,3.0,6.0,2437399.621,North West,14.706442299877969,1561.2173522607286,0.75
172,2143,Gombe,Semi-detached duplex,6.0,2.0,6.0,2150359.892,North East,14.581145777723338,1466.410546879693,0.333
173,621,Katsina,Apartment,9.0,4.0,6.0,2352965.312,North West,14.671186925569385,1533.9378448946359,0.444
175,3132,Akwa Ibom,Penthouse,4.0,1.0,2.0,2970083.038,South South,14.904100469310597,1723.3928855603415,0.25
176,4795,Bayelsa,Flat,4.0,1.0,2.0,2215085.181,South South,14.610801417155352,1488.3162234552171,0.25
177,1005,Jigawa,Bungalow,8.0,1.0,3.0,1991188.827,North West,14.504242418830543,1411.0949036120853,0.125
178,12226,Delta,Townhouse,6.0,2.0,3.0,3101954.274,South South,14.947542881797595,1761.2365752504688,0.333
180,262,Oyo,Mansion,7.0,4.0,6.0,5149330.701,South West,15.454377303223387,2269.213674601843,0.571
181,54,Akwa Ibom,Apartment,5.0,2.0,3.0,2164976.933,South South,14.587920264858504,1471.386058449651,0.4
182,5067,Enugu,Flat,4.0,5.0,3.0,1810802.742,South East,14.40928080879064,1345.660708351106,1.25
183,1964,Nasarawa,Cottage,2.0,1.0,4.0,1394147.99,North Central,14.147794026791193,1180.7404414180112,0.5
184,12186,Sokoto,Townhouse,2.0,4.0,3.0,1300597.003,North West,14.078333950093452,1140.437198183223,2.0
186,12419,Bayelsa,Detached duplex,5.0,1.0,3.0,3232095.711,South South,14.98864131173663,1797.803023414968,0.2
188,2047,Anambra,Mansion,4.0,2.0,1.0,3922024.506,South East,15.18211853406159,1980.410186299798,0.5
189,7662,Akwa Ibom,Penthouse,9.0,2.0,3.0,4642589.355,South South,15.350782819196633,2154.66687796513,0.222
190,2986,Bauchi,Apartment,2.0,1.0,3.0,889044.7477,North East,13.697902848099925,942.8916945757874,0.5
191,2340,Yobe,Bungalow,5.0,4.0,3.0,1612536.9,North East,14.293319211111166,1269.85703919772,0.8
192,2993,Akwa Ibom,Flat,4.0,1.0,3.0,1806405.687,South South,14.406849620623243,1344.0259249731755,0.25
193,10241,Cross River,Semi-detached duplex,3.0,7.0,3.0,2021721.714,South South,14.519460040010683,1421.8726082177686,2.333
194,10486,Ogun,Apartment,9.0,5.0,6.0,2946173.11,South West,14.896017635310258,1716.4419914462592,0.556
196,2799,Yobe,Terrace duplex,3.0,5.0,6.0,1416950.981,North East,14.164017924567037,1190.3575013415086,1.667
197,7836,Ondo,Semi-detached duplex,3.0,2.0,3.0,1918885.602,South West,14.46725515987261,1385.2384639476338,0.667
198,1691,Kwara,Terrace duplex,4.0,6.0,2.0,1923379.488,North Central,14.46959434675528,1386.859577606904,1.5
199,8737,Kogi,Penthouse,2.0,4.0,6.0,1891074.467,North Central,14.452655726558518,1375.1634328326215,2.0
200,3755,Kogi,Flat,4.0,7.0,3.0,2198943.715,North Central,14.603487673483992,1482.883581067644,1.75
201,2934,Benue,Terrace duplex,4.0,7.0,4.0,2835093.693,North Central,14.857585543275142,1683.7736466045546,1.75
202,1267,Edo,Apartment,4.0,1.0,4.0,1757092.101,South South,14.37917078526038,1325.5535074073773,0.25
203,8173,Kogi,Mansion,6.0,5.0,2.0,3808731.495,North Central,15.15280675072086,1951.5971651444875,0.833
205,1132,Imo,Bungalow,5.0,1.0,3.0,1657537.213,South East,14.320843452072179,1287.4537712088927,0.2
206,3372,Borno,Flat,3.0,2.0,3.0,1087825.539,North East,13.899691343356736,1042.9887530553722,0.667
207,1006,Cross River,Terrace duplex,2.0,1.0,3.0,1464855.708,South South,14.197267302749802,1210.3122357474538,0.5
210,8032,Nasarawa,Penthouse,3.0,5.0,4.0,2344166.517,North Central,14.66744046683161,1531.067117078804,1.667
211,3043,Jigawa,Semi-detached duplex,4.0,2.0,4.0,1385992.295,North West,14.141926899553475,1177.281739856692,0.5
212,9994,Bayelsa,Bungalow,4.0,6.0,4.0,2818492.317,South South,14.85171266058201,1678.8365962773148,1.5
213,955,Ebonyi,Mansion,4.0,2.0,2.0,3816216.512,South East,15.15477004788627,1953.5138883560567,0.5
214,5255,Lagos,Penthouse,8.0,7.0,2.0,6336262.513,South West,15.661799643594128,2517.1933801359005,0.875
215,7809,Niger,Apartment,3.0,3.0,6.0,1232069.776,North Central,14.02420605783546,1109.9863855020926,1.0
216,8006,Adamawa,Bungalow,2.0,2.0,4.0,1118895.392,North East,13.92785249945683,1057.7785174600588,1.0
217,10027,Katsina,Bungalow,4.0,3.0,2.0,1857575.464,North West,14.434782681397532,1362.9290018192437,0.75
218,2763,Anambra,Flat,5.0,2.0,4.0,1796728.77,South East,14.401478219482394,1340.421116664461,0.4
222,2951,Abia,Apartment,1.0,2.0,3.0,723732.5162,South East,13.492177150340936,850.7247005935586,2.0
223,3788,Yobe,Penthouse,9.0,1.0,3.0,2997190.454,North East,14.91318589249458,1731.2395715209377,0.111
224,3436,Sokoto,Bungalow,7.0,2.0,4.0,1886849.477,North West,14.450419052753544,1373.6263964411867,0.286
226,2151,Ebonyi,Cottage,5.0,2.0,1.0,1087627.953,South East,13.89950969295486,1042.8940276940893,0.4
227,1705,Anambra,Apartment,6.0,4.0,2.0,2014725.407,South East,14.515993469635028,1419.4102321034607,0.667
228,2621,Katsina,Mansion,2.0,2.0,1.0,2296502.316,North West,14.64689779123866,1515.4214978018492,1.0
229,8415,Lagos,Mansion,8.0,5.0,2.0,8593197.387,South West,15.966481446705343,2931.4155943843925,0.625
230,12491,Kano,Bungalow,9.0,7.0,3.0,2811670.496,North West,14.849289347237448,1676.80365457617,0.778
231,3444,Nasarawa,Cottage,3.0,1.0,2.0,1620193.053,North Central,14.298055868627081,1272.8680422573268,0.333
232,8178,Ogun,Penthouse,5.0,2.0,3.0,3195932.936,South West,14.977389601918478,1787.7172416240776,0.4
233,1847,Ekiti,Apartment,4.0,2.0,2.0,1469848.315,South West,14.200669766355936,1212.3730098447425,0.5
234,3391,Oyo,Townhouse,3.0,2.0,1.0,1831111.994,South West,14.420433987269458,1353.1858682383584,0.667
236,6534,Yobe,Detached duplex,9.0,2.0,4.0,2971448.921,North East,14.904560244006245,1723.7891173226499,0.222
237,11555,Ondo,Semi-detached duplex,2.0,2.0,2.0,1584248.209,South West,14.275620536681732,1258.6692214398508,1.0
238,10836,Kogi,Detached duplex,7.0,5.0,3.0,2692598.525,North Central,14.806017279729454,1640.9139297964412,0.714
239,1384,Kogi,Terrace duplex,3.0,2.0,3.0,1216396.499,North Central,14.011403356616128,1102.9036671441436,0.667
240,7087,Nasarawa,Penthouse,1.0,2.0,4.0,1669500.123,North Central,14.328034812040597,1292.0913756387356,2.0
241,1771,Oyo,Mansion,3.0,2.0,1.0,4357929.449,South West,15.287507605507566,2087.5654358606344,0.667
242,7181,Anambra,Detached duplex,8.0,1.0,1.0,3177279.419,South East,14.971535859966538,1782.492473756902,0.125
244,2833,Delta,Cottage,3.0,1.0,2.0,1334171.262,South South,14.103820879526248,1155.0633151477023,0.333
245,5302,Imo,Semi-detached duplex,9.0,5.0,4.0,3001242.07,South East,14.914536784281706,1732.4093251884785,0.556
246,2935,Oyo,Bungalow,4.0,6.0,5.0,1954061.906,South West,14.48542079276162,1397.8776434294955,1.5
247,5954,Kwara,Semi-detached duplex,2.0,3.0,4.0,1274677.109,North Central,14.058203456658877,1129.01599147222,1.5
248,1108,Plateau,Flat,4.0,2.0,1.0,1352385.689,North Central,14.117380767831456,1162.9211877853115,0.5
249,10667,Ogun,Apartment,5.0,2.0,6.0,2050983.376,South West,14.533829931707189,1432.1254749497336,0.4
250,11720,Benue,Mansion,1.0,5.0,2.0,2272379.087,North Central,14.636337896577523,1507.441238324068,5.0
251,533,Katsina,Terrace duplex,4.0,5.0,6.0,1981831.817,North West,14.499532135074894,1407.7754852958622,1.25
252,5976,Kogi,Terrace duplex,6.0,2.0,5.0,2056455.777,North Central,14.53649456240973,1434.0347893269536,0.333
254,3281,Kogi,Penthouse,5.0,1.0,3.0,2007956.992,North Central,14.512628341237688,1417.0239913283049,0.2
255,1687,Nasarawa,Penthouse,6.0,5.0,4.0,3133746.415,North Central,14.957739784457177,1770.2390841352476,0.833
256,1012,Katsina,Townhouse,4.0,1.0,3.0,1648738.447,North West,14.3155209758625,1284.0321051282167,0.25
257,12904,Kebbi,Terrace duplex,6.0,6.0,3.0,1991086.164,North West,14.504190858855276,1411.058526071828,1.0
258,11002,Ogun,Detached duplex,5.0,7.0,1.0,2950483.862,South West,14.897479735882975,1717.6972556303397,1.4
259,557,Delta,Semi-detached duplex,3.0,1.0,3.0,1793117.724,South South,14.399466407989074,1339.0734572830572,0.333
260,9383,Kebbi,Detached duplex,1.0,2.0,5.0,1185280.691,North West,13.985490174544283,1088.705970866331,2.0
261,3222,Nasarawa,Semi-detached duplex,4.0,7.0,2.0,1725284.602,North Central,14.36090258150546,1313.500895317548,1.75
263,1845,Katsina,Mansion,1.0,1.0,2.0,2963837.234,North West,14.901995349585276,1721.5798657047544,1.0
264,297,Niger,Flat,5.0,2.0,4.0,1472503.217,North Central,14.202474379225356,1213.467435492193,0.4
265,2679,Enugu,Townhouse,6.0,4.0,1.0,2611318.638,South East,14.775365877002907,1615.9574988222926,0.667
266,7680,Kogi,Detached duplex,9.0,1.0,4.0,3013000.388,North Central,14.918446946887737,1735.7996393593357,0.111
267,2402,Imo,Penthouse,4.0,1.0,2.0,2544988.335,South East,14.749636624459203,1595.3019573109036,0.25
268,129,Oyo,Bungalow,2.0,3.0,2.0,1365726.702,South West,14.127197227353538,1168.6431029189366,1.5
269,478,Nasarawa,Bungalow,5.0,5.0,3.0,1888139.029,North Central,14.451102261217946,1374.0957131874038,1.0
270,2527,Oyo,Apartment,7.0,2.0,2.0,2184074.472,South West,14.596702714166677,1477.861452234275,0.286
271,1581,Ebonyi,Penthouse,4.0,2.0,1.0,1913201.079,South East,14.464288354764703,1383.1851210159832,0.5
272,10688,Plateau,Bungalow,4.0,3.0,1.0,1268778.565,North Central,14.053565235804506,1126.4007124465077,0.75
275,4931,Niger,Penthouse,4.0,6.0,3.0,1661517.147,North Central,14.32324168691613,1288.9985054297,1.5
276,59,Bauchi,Flat,5.0,1.0,2.0,1366599.02,North East,14.127835744220405,1169.016261649084,0.2
278,5062,Imo,Bungalow,2.0,5.0,3.0,1298311.633,South East,14.076575234486898,1139.4347866376556,2.5
280,717,Cross River,Semi-detached duplex,4.0,2.0,3.0,2053788.798,South South,14.535196839451585,1433.1046012067648,0.5
281,11964,Gombe,Penthouse,4.0,7.0,3.0,3418575.901,North East,15.04473461910252,1848.9391285274917,1.75
282,2105,Kaduna,Bungalow,4.0,1.0,3.0,1160831.457,North West,13.96464707959913,1077.4188865060794,0.25
284,10677,Katsina,Townhouse,7.0,6.0,1.0,2494268.203,North West,14.72950593873449,1579.3252366121426,0.857
285,4123,Borno,Mansion,4.0,4.0,4.0,2847927.368,North East,14.862102048379812,1687.5803293473173,1.0
286,3565,Delta,Mansion,3.0,1.0,2.0,5346209.453,South South,15.491898354299966,2312.1871578659025,0.333
287,4341,Zamfara,Flat,5.0,6.0,3.0,1594483.223,North West,14.28206024358323,1262.7284834832863,1.2
288,1225,Lagos,Bungalow,4.0,4.0,3.0,2292653.521,South West,14.64522044750091,1514.151089224586,1.0
290,673,Nasarawa,Bungalow,1.0,1.0,3.0,1018018.299,North Central,13.833368451373092,1008.9689286593517,1.0
291,915,Ondo,Detached duplex,5.0,2.0,2.0,2335697.337,South West,14.66382104989562,1528.2988375968882,0.4
292,8041,Nasarawa,Terrace duplex,4.0,1.0,4.0,1749621.477,North Central,14.374910023646583,1322.732579548867,0.25
294,1280,Kwara,Mansion,2.0,2.0,3.0,1447774.134,North Central,14.185537854954275,1203.2348623606283,1.0
